호선,역명,지역(시),지역(구),지역(동),지가,지역(시),지역(구),지역(로),면적(㎡),카테고리,임대료,,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,24,화장품,"7,500,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,48.5,의류잡화,"7,642,349",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,37,의류잡화,"8,022,000",,
5호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,70.3,의류잡화,"10,109,706",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,112,의류잡화,"10,835,534",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,165,식품제과,"15,963,063",,
6호선,공덕역,서울특별시,마포구,공덕동,4338831.797,서울특별시,마포구,마포대로,39.4,편의점,"17,509,209",,
7호선,공릉역,서울특별시,노원구,공릉동,1971704.187,서울특별시,노원구,동일로,30,의류잡화,"2,305,943",,
7호선,공릉역,서울특별시,노원구,공릉동,1971704.187,서울특별시,노원구,동일로,40,화장품,"3,074,591",,
7호선,공릉역,서울특별시,노원구,공릉동,1971704.187,서울특별시,노원구,동일로,50,식품제과,"3,843,238",,
7호선,공릉역,서울특별시,노원구,공릉동,1971704.187,서울특별시,노원구,동일로,28.91,편의점,"6,716,380",,
7호선,공릉역,서울특별시,노원구,공릉동,1971704.187,서울특별시,노원구,동일로,29.42,화장품,"9,509,157",,
5호선,광나루역,서울특별시,광진구,광장동,2361903.619,서울특별시,광진구,아차산로,17.86,의류잡화,"2,150,000",,
5호선,광나루역,서울특별시,광진구,광장동,2361903.619,서울특별시,광진구,아차산로,53.26,의류잡화,"3,726,868",,
5호선,광나루역,서울특별시,광진구,광장동,2361903.619,서울특별시,광진구,아차산로,62.2,식품제과,"4,585,000",,
5호선,광나루역,서울특별시,광진구,광장동,2361903.619,서울특별시,광진구,아차산로,45,편의점,"8,972,033",,
5호선,광화문역,서울특별시,종로구,도염동,1577171.921,서울특별시,종로구,세종대로,10,의류잡화,"1,236,200",,
