,호선,역명,지역(시),지역(구),지역(동),지역(로),면적(㎡),카테고리,임대료,승객 수
150,2호선,교대역,서울특별시,서초구,서초동,서초대로,28.05,의류잡화,"3,950,000",36698095.0
151,3호선,교대역,서울특별시,서초구,서초동,서초대로,113.1,편의점,"4,433,300",36698095.0
152,2호선,교대역,서울특별시,서초구,서초동,서초대로,15.0,식품제과,"8,196,400",36698095.0
153,2호선,교대역,서울특별시,서초구,서초동,서초대로,18.6,카페,"10,206,945",36698095.0
154,2호선,구로디지털역,서울특별시,구로구,구로동,도림천로,10.66,카페,"6,773,016",
155,2호선,구로디지털역,서울특별시,구로구,구로동,도림천로,29.0,식품제과,"8,502,100",
156,2호선,구로디지털역,서울특별시,구로구,구로동,도림천로,100.8,의류잡화,"14,000,700",
157,6호선,구산역,서울특별시,은평구,구산동,연서로,30.0,의류잡화,"2,106,614",5175114.0
158,6호선,구산역,서울특별시,은평구,구산동,연서로,33.0,식품제과,"2,317,275",5175114.0
159,6호선,구산역,서울특별시,은평구,구산동,연서로,33.0,의류잡화,"2,317,275",5175114.0
160,6호선,구산역,서울특별시,은평구,구산동,연서로,58.0,화장품,"4,601,968",5175114.0
161,6호선,구산역,서울특별시,은평구,구산동,연서로,33.2,편의점,"7,210,770",5175114.0
162,2호선,구의역,서울특별시,광진구,구의동,아차산로,12.08,카페,"341,170",17152645.0
163,2호선,구의역,서울특별시,광진구,구의동,아차산로,20.0,의류잡화,"1,023,000",17152645.0
164,2호선,구의역,서울특별시,광진구,구의동,아차산로,50.46,화장품,"8,480,902",17152645.0
165,7호선,군자역,서울특별시,광진구,능동,천호대로,86.95,의류잡화,"3,196,209",17981165.0
166,7호선,군자역,서울특별시,광진구,능동,천호대로,50.0,화장품,"3,677,938",17981165.0
167,7호선,군자역,서울특별시,광진구,능동,천호대로,20.0,식품제과,"4,435,930",17981165.0
168,7호선,군자역,서울특별시,광진구,능동,천호대로,40.0,화장품,"4,905,294",17981165.0
169,7호선,군자역,서울특별시,광진구,능동,천호대로,55.0,화장품,"4,994,660",17981165.0
170,5호선,군자역,서울특별시,광진구,능동,천호대로,90.6,화장품,"7,050,000",17981165.0
171,5호선,군자역,서울특별시,광진구,능동,천호대로,44.67,화장품,"7,500,000",17981165.0
172,7호선,군자역,서울특별시,광진구,능동,천호대로,24.24,의류잡화,"8,400,200",17981165.0
173,7호선,군자역,서울특별시,광진구,능동,천호대로,54.82,편의점,"11,979,000",17981165.0
174,7호선,군자역,서울특별시,광진구,능동,천호대로,31.0,의류잡화,"13,022,172",17981165.0
175,7호선,군자역,서울특별시,광진구,능동,천호대로,32.7,의류잡화,"13,500,000",17981165.0
176,7호선,군자역,서울특별시,광진구,능동,천호대로,27.0,식품제과,"15,358,696",17981165.0
177,7호선,군자역,서울특별시,광진구,능동,천호대로,33.0,식품제과,"16,095,420",17981165.0
178,7호선,군자역,서울특별시,광진구,능동,천호대로,27.0,카페,"18,293,194",17981165.0
179,7호선,굴포천역,인천광역시,부평구,삼산동,길주로,47.0,편의점,"9,595,520",6869239.0
180,5호선,굽은다리역,서울특별시,강동구,명일동,양재대로,14.5,의류잡화,"999,990",7039787.0
181,5호선,굽은다리역,서울특별시,강동구,명일동,양재대로,23.0,의류잡화,"3,130,000",7039787.0
182,5호선,굽은다리역,서울특별시,강동구,명일동,양재대로,34.43,식품제과,"3,692,500",7039787.0
183,5호선,굽은다리역,서울특별시,강동구,명일동,양재대로,30.0,편의점,"5,299,388",7039787.0
184,3호선,금호역,서울특별시,성동구,금호동4가,동호로,18.61,소매업,"692,200",6167521.0
185,3호선,금호역,서울특별시,성동구,금호동5가,동호로,28.0,식품제과,"798,000",6167521.0
186,3호선,금호역,서울특별시,성동구,금호동6가,동호로,21.0,의류잡화,"893,000",6167521.0
187,3호선,금호역,서울특별시,성동구,금호동7가,동호로,25.3,편의점,"1,175,000",6167521.0
188,3호선,금호역,서울특별시,성동구,금호동8가,동호로,50.3,화장품,"3,559,459",6167521.0
189,5호선,길동역,서울특별시,강동구,길동,양재대로,31.82,편의점,"5,116,421",5744110.0
190,4호선,길음역,서울특별시,성북구,길음동,동소문로,20.04,화장품,"4,987,743",16922012.0
191,4호선,길음역,서울특별시,성북구,길음동,동소문로,100.0,식품제과,"6,436,000",16922012.0
192,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,103.42,사무실,"1,045,000",5620867.0
193,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,25.29,의류잡화,"3,300,070",5620867.0
194,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,44.39,식품제과,"3,379,996",5620867.0
195,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,25.29,의류잡화,"3,850,000",5620867.0
196,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,53.15,의류잡화,"4,200,000",5620867.0
197,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,53.97,카페,"4,984,100",5620867.0
198,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,49.96,의류잡화,"5,059,554",5620867.0
199,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,25.58,의류잡화,"5,120,000",5620867.0
200,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,43.71,식품제과,"5,335,330",5620867.0
201,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,32.34,편의점,"5,515,621",5620867.0
202,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,44.47,소매업,"6,000,000",5620867.0
203,5호선,김포공항역,서울특별시,강서구,방화동,하늘길,21.53,의류잡화,"6,300,070",5620867.0
204,5호선,까치산역,서울특별시,강서구,화곡동,강서로,19.28,의류잡화,"7,674,176",21452951.0
205,5호선,까치산역,서울특별시,강서구,화곡동,강서로,36.85,식품제과,"8,896,100",21452951.0
206,5호선,까치산역,서울특별시,강서구,화곡동,강서로,37.82,편의점,"9,319,115",21452951.0
207,5호선,까치산역,서울특별시,강서구,화곡동,강서로,21.25,카페,"10,000,000",21452951.0
208,5호선,까치산역,서울특별시,강서구,화곡동,강서로,24.15,의류잡화,"10,130,000",21452951.0
209,5호선,까치산역,서울특별시,강서구,화곡동,강서로,30.72,화장품,"11,817,326",21452951.0
210,5호선,까치산역,서울특별시,강서구,화곡동,강서로,28.07,소매업,"12,773,147",21452951.0
211,5호선,까치산역,서울특별시,강서구,화곡동,강서로,46.76,의류잡화,"15,557,824",21452951.0
212,7호선,까치울역,경기도,부천시,원미구,원미구,39.0,편의점,"6,767,903",5243865.0
213,2호선,낙성대역,서울특별시,관악구,봉천동,남부순환로,20.94,편의점,"500,630",21664346.0
214,2호선,낙성대역,서울특별시,관악구,봉천동,남부순환로,16.7,의류잡화,"1,902,830",21664346.0
215,2호선,낙성대역,서울특별시,관악구,봉천동,남부순환로,21.28,편의점,"5,115,000",21664346.0
216,7호선,남구로역,서울특별시,구로구,구로동,도림로,22.0,의류잡화,"2,625,180",11994675.0
217,7호선,남구로역,서울특별시,구로구,구로동,도림로,43.0,화장품,"5,131,033",11994675.0
218,7호선,남구로역,서울특별시,구로구,구로동,도림로,32.0,화장품,"5,286,312",11994675.0
219,7호선,남구로역,서울특별시,구로구,구로동,도림로,40.0,화장품,"6,607,890",11994675.0
220,7호선,남구로역,서울특별시,구로구,구로동,도림로,33.67,편의점,"7,551,830",11994675.0
221,7호선,남성역,서울특별시,동작구,사당동,사당로,15.0,카페,"1,593,084",8343060.0
222,7호선,남성역,서울특별시,동작구,사당동,사당로,21.0,화장품,"2,321,440",8343060.0
223,7호선,남성역,서울특별시,동작구,사당동,사당로,26.0,식품제과,"2,874,164",8343060.0
224,7호선,남성역,서울특별시,동작구,사당동,사당로,45.0,화장품,"4,974,514",8343060.0
225,7호선,남성역,서울특별시,동작구,사당동,사당로,50.0,의류잡화,"5,310,281",8343060.0
226,7호선,남성역,서울특별시,동작구,사당동,사당로,45.25,편의점,"8,496,620",8343060.0
227,8호선,남한산성입구역,경기도,성남시,수정구,수정구,17.0,식품제과,"2,031,500",10077851.0
228,8호선,남한산성입구역,경기도,성남시,수정구,수정구,54.76,식품제과,"7,020,000",10077851.0
229,8호선,남한산성입구역,경기도,성남시,수정구,수정구,36.0,편의점,"12,353,088",10077851.0
230,8호선,남한산성입구역,경기도,성남시,수정구,수정구,34.32,화장품,"15,428,575",10077851.0
231,7호선,내방역,서울특별시,서초구,방배동,서초대로,34.0,의류잡화,"1,710,654",10459644.0
232,7호선,내방역,서울특별시,서초구,방배동,서초대로,28.0,화장품,"2,489,840",10459644.0
